"PHT06S41.SPC"
WL/nm,Abs
900.0,0.168
899.5,0.168
899.0,0.168
898.5,0.168
898.0,0.168
897.5,0.168
897.0,0.169
896.5,0.169
896.0,0.169
895.5,0.169
895.0,0.169
894.5,0.169
894.0,0.169
893.5,0.169
893.0,0.169
892.5,0.169
892.0,0.169
891.5,0.168
891.0,0.168
890.5,0.168
890.0,0.168
889.5,0.168
889.0,0.168
888.5,0.168
888.0,0.168
887.5,0.169
887.0,0.169
886.5,0.169
886.0,0.170
885.5,0.170
885.0,0.171
884.5,0.172
884.0,0.172
883.5,0.172
883.0,0.172
882.5,0.173
882.0,0.173
881.5,0.173
881.0,0.174
880.5,0.174
880.0,0.174
879.5,0.175
879.0,0.175
878.5,0.175
878.0,0.175
877.5,0.176
877.0,0.176
876.5,0.176
876.0,0.176
875.5,0.176
875.0,0.176
874.5,0.176
874.0,0.176
873.5,0.175
873.0,0.175
872.5,0.175
872.0,0.175
871.5,0.174
871.0,0.174
870.5,0.174
870.0,0.174
869.5,0.173
869.0,0.173
868.5,0.173
868.0,0.173
867.5,0.172
867.0,0.172
866.5,0.172
866.0,0.172
865.5,0.172
865.0,0.172
864.5,0.172
864.0,0.172
863.5,0.171
863.0,0.171
862.5,0.171
862.0,0.171
861.5,0.171
861.0,0.172
860.5,0.171
860.0,0.171
859.5,0.171
859.0,0.171
858.5,0.171
858.0,0.171
857.5,0.172
857.0,0.172
856.5,0.172
856.0,0.172
855.5,0.172
855.0,0.172
854.5,0.172
854.0,0.172
853.5,0.172
853.0,0.172
852.5,0.172
852.0,0.172
851.5,0.172
851.0,0.172
850.5,0.172
850.0,0.173
849.5,0.173
849.0,0.173
848.5,0.173
848.0,0.173
847.5,0.173
847.0,0.173
846.5,0.173
846.0,0.173
845.5,0.173
845.0,0.173
844.5,0.174
844.0,0.174
843.5,0.174
843.0,0.174
842.5,0.174
842.0,0.174
841.5,0.174
841.0,0.174
840.5,0.174
840.0,0.175
839.5,0.175
839.0,0.175
838.5,0.175
838.0,0.175
837.5,0.175
837.0,0.175
836.5,0.175
836.0,0.175
835.5,0.175
835.0,0.175
834.5,0.175
834.0,0.175
833.5,0.175
833.0,0.175
832.5,0.175
832.0,0.175
831.5,0.175
831.0,0.175
830.5,0.175
830.0,0.175
829.5,0.175
829.0,0.175
828.5,0.175
828.0,0.175
827.5,0.175
827.0,0.175
826.5,0.175
826.0,0.175
825.5,0.175
825.0,0.175
824.5,0.175
824.0,0.175
823.5,0.175
823.0,0.175
822.5,0.175
822.0,0.175
821.5,0.175
821.0,0.175
820.5,0.175
820.0,0.175
819.5,0.175
819.0,0.176
818.5,0.176
818.0,0.176
817.5,0.176
817.0,0.176
816.5,0.176
816.0,0.176
815.5,0.177
815.0,0.177
814.5,0.177
814.0,0.177
813.5,0.177
813.0,0.177
812.5,0.178
812.0,0.178
811.5,0.178
811.0,0.178
810.5,0.179
810.0,0.179
809.5,0.179
809.0,0.179
808.5,0.179
808.0,0.180
807.5,0.180
807.0,0.180
806.5,0.180
806.0,0.181
805.5,0.181
805.0,0.181
804.5,0.181
804.0,0.181
803.5,0.182
803.0,0.182
802.5,0.182
802.0,0.183
801.5,0.183
801.0,0.183
800.5,0.183
800.0,0.184
799.5,0.184
799.0,0.184
798.5,0.184
798.0,0.185
797.5,0.185
797.0,0.185
796.5,0.185
796.0,0.186
795.5,0.186
795.0,0.186
794.5,0.186
794.0,0.187
793.5,0.187
793.0,0.187
792.5,0.188
792.0,0.188
791.5,0.188
791.0,0.189
790.5,0.189
790.0,0.189
789.5,0.190
789.0,0.190
788.5,0.190
788.0,0.191
787.5,0.191
787.0,0.191
786.5,0.191
786.0,0.192
785.5,0.192
785.0,0.192
784.5,0.193
784.0,0.193
783.5,0.193
783.0,0.193
782.5,0.194
782.0,0.194
781.5,0.194
781.0,0.195
780.5,0.195
780.0,0.196
779.5,0.196
779.0,0.196
778.5,0.197
778.0,0.197
777.5,0.197
777.0,0.198
776.5,0.198
776.0,0.198
775.5,0.199
775.0,0.199
774.5,0.199
774.0,0.199
773.5,0.200
773.0,0.200
772.5,0.200
772.0,0.201
771.5,0.201
771.0,0.202
770.5,0.202
770.0,0.202
769.5,0.203
769.0,0.203
768.5,0.204
768.0,0.204
767.5,0.204
767.0,0.205
766.5,0.205
766.0,0.205
765.5,0.206
765.0,0.206
764.5,0.207
764.0,0.207
763.5,0.207
763.0,0.208
762.5,0.208
762.0,0.209
761.5,0.209
761.0,0.210
760.5,0.210
760.0,0.210
759.5,0.211
759.0,0.212
758.5,0.212
758.0,0.213
757.5,0.213
757.0,0.214
756.5,0.214
756.0,0.215
755.5,0.215
755.0,0.216
754.5,0.216
754.0,0.217
753.5,0.217
753.0,0.218
752.5,0.218
752.0,0.219
751.5,0.219
751.0,0.220
750.5,0.221
750.0,0.221
749.5,0.222
749.0,0.222
748.5,0.223
748.0,0.224
747.5,0.224
747.0,0.225
746.5,0.226
746.0,0.226
745.5,0.227
745.0,0.228
744.5,0.228
744.0,0.229
743.5,0.230
743.0,0.231
742.5,0.232
742.0,0.232
741.5,0.233
741.0,0.234
740.5,0.235
740.0,0.236
739.5,0.237
739.0,0.237
738.5,0.238
738.0,0.239
737.5,0.240
737.0,0.241
736.5,0.242
736.0,0.243
735.5,0.244
735.0,0.245
734.5,0.246
734.0,0.247
733.5,0.248
733.0,0.249
732.5,0.250
732.0,0.252
731.5,0.253
731.0,0.254
730.5,0.255
730.0,0.257
729.5,0.258
729.0,0.259
728.5,0.261
728.0,0.262
727.5,0.264
727.0,0.266
726.5,0.267
726.0,0.269
725.5,0.271
725.0,0.273
724.5,0.275
724.0,0.277
723.5,0.279
723.0,0.281
722.5,0.283
722.0,0.286
721.5,0.288
721.0,0.290
720.5,0.293
720.0,0.296
719.5,0.299
719.0,0.302
718.5,0.305
718.0,0.308
717.5,0.311
717.0,0.314
716.5,0.318
716.0,0.321
715.5,0.325
715.0,0.329
714.5,0.333
714.0,0.337
713.5,0.341
713.0,0.345
712.5,0.350
712.0,0.354
711.5,0.359
711.0,0.364
710.5,0.369
710.0,0.374
709.5,0.380
709.0,0.386
708.5,0.392
708.0,0.399
707.5,0.406
707.0,0.413
706.5,0.420
706.0,0.427
705.5,0.434
705.0,0.442
704.5,0.450
704.0,0.458
703.5,0.466
703.0,0.475
702.5,0.484
702.0,0.493
701.5,0.502
701.0,0.512
700.5,0.523
700.0,0.533
699.5,0.544
699.0,0.556
698.5,0.568
698.0,0.581
697.5,0.593
697.0,0.606
696.5,0.619
696.0,0.633
695.5,0.648
695.0,0.662
694.5,0.677
694.0,0.693
693.5,0.709
693.0,0.726
692.5,0.743
692.0,0.761
691.5,0.779
691.0,0.798
690.5,0.818
690.0,0.839
689.5,0.860
689.0,0.882
688.5,0.905
688.0,0.928
687.5,0.952
687.0,0.976
686.5,1.002
686.0,1.029
685.5,1.057
685.0,1.085
684.5,1.114
684.0,1.143
683.5,1.173
683.0,1.204
682.5,1.235
682.0,1.268
681.5,1.301
681.0,1.335
680.5,1.370
680.0,1.407
679.5,1.444
679.0,1.481
678.5,1.520
678.0,1.559
677.5,1.599
677.0,1.639
676.5,1.679
676.0,1.718
675.5,1.758
675.0,1.798
674.5,1.839
674.0,1.880
673.5,1.921
673.0,1.962
672.5,2.003
672.0,2.043
671.5,2.085
671.0,2.126
670.5,2.164
670.0,2.201
669.5,2.236
669.0,2.269
668.5,2.301
668.0,2.330
667.5,2.356
667.0,2.381
666.5,2.402
666.0,2.422
665.5,2.439
665.0,2.454
664.5,2.468
664.0,2.479
663.5,2.489
663.0,2.497
662.5,2.504
662.0,2.511
661.5,2.516
661.0,2.521
660.5,2.524
660.0,2.527
659.5,2.530
659.0,2.533
658.5,2.535
658.0,2.536
657.5,2.537
657.0,2.539
656.5,2.539
656.0,2.540
655.5,2.541
655.0,2.541
654.5,2.542
654.0,2.542
653.5,2.542
653.0,2.542
652.5,2.542
652.0,2.542
651.5,2.542
651.0,2.542
650.5,2.527
650.0,2.502
649.5,2.479
649.0,2.479
648.5,2.478
648.0,2.477
647.5,2.475
647.0,2.472
646.5,2.469
646.0,2.466
645.5,2.462
645.0,2.457
644.5,2.452
644.0,2.447
643.5,2.441
643.0,2.435
642.5,2.428
642.0,2.421
641.5,2.414
641.0,2.408
640.5,2.401
640.0,2.395
639.5,2.388
639.0,2.383
638.5,2.379
638.0,2.375
637.5,2.372
637.0,2.370
636.5,2.369
636.0,2.368
635.5,2.369
635.0,2.370
634.5,2.371
634.0,2.373
633.5,2.375
633.0,2.377
632.5,2.379
632.0,2.381
631.5,2.384
631.0,2.385
630.5,2.386
630.0,2.388
629.5,2.388
629.0,2.389
628.5,2.389
628.0,2.389
627.5,2.389
627.0,2.389
626.5,2.388
626.0,2.388
625.5,2.387
625.0,2.386
624.5,2.386
624.0,2.385
623.5,2.384
623.0,2.383
622.5,2.383
622.0,2.382
621.5,2.381
621.0,2.381
620.5,2.380
620.0,2.379
619.5,2.378
619.0,2.377
618.5,2.377
618.0,2.375
617.5,2.375
617.0,2.374
616.5,2.373
616.0,2.372
615.5,2.371
615.0,2.370
614.5,2.369
614.0,2.368
613.5,2.367
613.0,2.366
612.5,2.365
612.0,2.364
611.5,2.363
611.0,2.362
610.5,2.361
610.0,2.360
609.5,2.358
609.0,2.357
608.5,2.356
608.0,2.355
607.5,2.354
607.0,2.353
606.5,2.352
606.0,2.352
605.5,2.350
605.0,2.349
604.5,2.348
604.0,2.346
603.5,2.345
603.0,2.343
602.5,2.342
602.0,2.342
601.5,2.340
601.0,2.340
600.5,2.338
600.0,2.337
599.5,2.335
599.0,2.334
598.5,2.333
598.0,2.332
597.5,2.331
597.0,2.330
596.5,2.329
596.0,2.328
595.5,2.326
595.0,2.325
594.5,2.323
594.0,2.322
593.5,2.321
593.0,2.319
592.5,2.318
592.0,2.316
591.5,2.315
591.0,2.314
590.5,2.313
590.0,2.311
589.5,2.310
589.0,2.309
588.5,2.307
588.0,2.306
587.5,2.305
587.0,2.303
586.5,2.302
586.0,2.301
585.5,2.299
585.0,2.298
584.5,2.296
584.0,2.295
583.5,2.294
583.0,2.292
582.5,2.291
582.0,2.289
581.5,2.288
581.0,2.287
580.5,2.285
580.0,2.284
579.5,2.283
579.0,2.281
578.5,2.280
578.0,2.278
577.5,2.277
577.0,2.275
576.5,2.273
576.0,2.272
575.5,2.270
575.0,2.269
574.5,2.267
574.0,2.266
573.5,2.264
573.0,2.262
572.5,2.261
572.0,2.259
571.5,2.258
571.0,2.257
570.5,2.255
570.0,2.253
569.5,2.252
569.0,2.250
568.5,2.248
568.0,2.246
567.5,2.245
567.0,2.243
566.5,2.241
566.0,2.240
565.5,2.239
565.0,2.237
564.5,2.236
564.0,2.234
563.5,2.232
563.0,2.231
562.5,2.229
562.0,2.227
561.5,2.225
561.0,2.224
560.5,2.222
560.0,2.220
559.5,2.219
559.0,2.217
558.5,2.215
558.0,2.214
557.5,2.212
557.0,2.210
556.5,2.208
556.0,2.206
555.5,2.205
555.0,2.203
554.5,2.201
554.0,2.200
553.5,2.197
553.0,2.196
552.5,2.194
552.0,2.192
551.5,2.190
551.0,2.188
550.5,2.186
550.0,2.184
549.5,2.182
549.0,2.180
548.5,2.178
548.0,2.175
547.5,2.173
547.0,2.171
546.5,2.169
546.0,2.167
545.5,2.165
545.0,2.162
544.5,2.159
544.0,2.157
543.5,2.154
543.0,2.151
542.5,2.149
542.0,2.145
541.5,2.143
541.0,2.140
540.5,2.137
540.0,2.133
539.5,2.129
539.0,2.126
538.5,2.122
538.0,2.118
537.5,2.114
537.0,2.110
536.5,2.275
536.0,2.690
535.5,3.110
535.0,3.155
534.5,3.152
534.0,3.152
533.5,3.146
533.0,3.148
532.5,3.152
532.0,3.151
531.5,3.152
