"PHT09S61.SPC"
WL/nm,Abs
900.0,0.090
899.5,0.089
899.0,0.089
898.5,0.089
898.0,0.089
897.5,0.089
897.0,0.089
896.5,0.089
896.0,0.089
895.5,0.089
895.0,0.089
894.5,0.089
894.0,0.089
893.5,0.089
893.0,0.089
892.5,0.089
892.0,0.088
891.5,0.088
891.0,0.087
890.5,0.087
890.0,0.087
889.5,0.086
889.0,0.086
888.5,0.086
888.0,0.086
887.5,0.087
887.0,0.087
886.5,0.088
886.0,0.088
885.5,0.089
885.0,0.089
884.5,0.089
884.0,0.089
883.5,0.090
883.0,0.090
882.5,0.090
882.0,0.090
881.5,0.090
881.0,0.090
880.5,0.091
880.0,0.091
879.5,0.091
879.0,0.091
878.5,0.091
878.0,0.091
877.5,0.091
877.0,0.091
876.5,0.091
876.0,0.091
875.5,0.091
875.0,0.091
874.5,0.090
874.0,0.090
873.5,0.090
873.0,0.090
872.5,0.089
872.0,0.089
871.5,0.088
871.0,0.088
870.5,0.088
870.0,0.087
869.5,0.087
869.0,0.087
868.5,0.086
868.0,0.086
867.5,0.086
867.0,0.085
866.5,0.085
866.0,0.085
865.5,0.084
865.0,0.084
864.5,0.084
864.0,0.084
863.5,0.083
863.0,0.083
862.5,0.083
862.0,0.083
861.5,0.083
861.0,0.083
860.5,0.083
860.0,0.083
859.5,0.082
859.0,0.082
858.5,0.082
858.0,0.082
857.5,0.082
857.0,0.082
856.5,0.082
856.0,0.081
855.5,0.081
855.0,0.081
854.5,0.081
854.0,0.081
853.5,0.081
853.0,0.081
852.5,0.081
852.0,0.081
851.5,0.081
851.0,0.081
850.5,0.081
850.0,0.081
849.5,0.080
849.0,0.080
848.5,0.080
848.0,0.080
847.5,0.080
847.0,0.080
846.5,0.080
846.0,0.080
845.5,0.080
845.0,0.080
844.5,0.080
844.0,0.080
843.5,0.080
843.0,0.080
842.5,0.080
842.0,0.079
841.5,0.079
841.0,0.079
840.5,0.079
840.0,0.079
839.5,0.079
839.0,0.079
838.5,0.079
838.0,0.079
837.5,0.079
837.0,0.079
836.5,0.079
836.0,0.079
835.5,0.078
835.0,0.078
834.5,0.078
834.0,0.078
833.5,0.078
833.0,0.078
832.5,0.078
832.0,0.077
831.5,0.077
831.0,0.077
830.5,0.077
830.0,0.076
829.5,0.076
829.0,0.076
828.5,0.076
828.0,0.076
